time,alkalinity_mgl,co2_mgl,h2s_ugl,o2_mgl,o2_sat
2022-06-28T00:00:52.222152Z,41.43,1.71,0.04,10.42,102.41
2022-06-28T00:02:52.775426Z,42.3,1.76,0.05,10.42,102.35
2022-06-28T00:03:52.999496Z,42.6,1.75,0.05,10.42,102.34
2022-06-28T00:05:53.207253Z,41.93,1.73,0.04,10.42,102.33
2022-06-28T00:07:53.330998Z,41.37,1.7,0.05,,102.33
2022-06-28T00:08:53.791786Z,41.13,1.72,0.06,10.42,102.35
2022-06-28T00:10:54.175301Z,41.84,1.74,0.05,,102.37
2022-06-28T00:11:54.996442Z,41.3,1.7,0.06,10.42,102.34
2022-06-28T00:13:55.792968Z,42.02,1.74,0.05,,102.37
2022-06-28T00:14:55.835476Z,42.01,1.73,0.05,10.42,102.32
2022-06-28T00:16:57.418556Z,41.85,1.74,0.04,,102.36
2022-06-28T00:17:57.798729Z,42.16,1.74,0.05,10.42,102.37
2022-06-28T00:19:58.265768Z,42.1,1.74,0.05,,102.36
2022-06-28T00:20:58.287080Z,42.81,1.77,,10.42,102.35
2022-06-28T00:22:58.905137Z,42.68,1.77,0.06,,102.35
2022-06-28T00:23:59.173943Z,42.14,1.73,0.05,10.42,102.36
2022-06-28T00:25:59.944555Z,42.24,1.74,0.05,,102.36
2022-06-28T00:26:59.959031Z,42.45,1.76,0.05,10.42,102.35
2022-06-28T00:29:01.347872Z,42.62,1.77,0.05,10.42,102.38
2022-06-28T00:30:01.497140Z,42.57,1.75,0.05,10.42,102.35
2022-06-28T00:32:01.955768Z,41.78,1.72,0.05,10.42,102.39
2022-06-28T00:34:02.996371Z,41.97,1.73,0.05,,102.38
2022-06-28T00:35:03.041912Z,42.37,1.76,0.05,10.42,102.41
2022-06-28T00:37:03.065218Z,41.81,1.73,0.05,10.43,
2022-06-28T00:38:03.892137Z,41.99,1.74,0.05,,102.41
2022-06-28T00:40:04.844353Z,41.99,1.73,0.05,10.42,102.4
2022-06-28T00:41:05.481777Z,42.08,1.74,,10.42,102.4
2022-06-28T00:43:05.902100Z,41.95,1.73,,10.43,102.42
2022-06-28T00:44:05.991491Z,42.03,1.74,0.05,,102.43
2022-06-28T00:46:06.934256Z,41.76,1.72,0.04,10.42,102.4
2022-06-28T00:47:07.034849Z,41.88,1.73,0.05,,102.41
2022-06-28T00:49:07.333324Z,41.89,1.71,0.05,10.42,102.41
2022-06-28T00:50:07.647974Z,41.46,1.72,,,102.42
2022-06-28T00:52:08.386665Z,42.6,1.75,0.05,10.42,102.39
2022-06-28T00:53:08.415945Z,42.19,1.75,0.04,,102.34
2022-06-28T00:55:08.891124Z,42.07,1.73,0.04,10.42,102.34
2022-06-28T00:56:09.528946Z,41.8,,0.05,10.43,102.4
2022-06-28T00:58:10.531881Z,42.73,1.76,0.06,10.42,102.37
2022-06-28T01:00:11.706104Z,41.89,1.73,0.05,10.42,102.32
2022-06-28T01:01:11.898430Z,42.52,1.76,0.05,10.42,102.37
2022-06-28T01:03:12.115922Z,42.03,1.74,0.06,10.43,102.41
2022-06-28T01:04:12.657344Z,42.01,1.74,0.05,,102.39
2022-06-28T01:06:13.894529Z,42.71,1.76,0.05,10.43,102.38
2022-06-28T01:07:13.995389Z,42.24,1.74,0.04,10.43,102.38
2022-06-28T01:09:15.334972Z,42.88,1.78,0.04,10.43,102.46
2022-06-28T01:10:16.130232Z,42.93,1.78,,10.43,102.45
2022-06-28T01:12:16.488435Z,42.35,1.75,0.05,10.43,102.44
2022-06-28T01:13:16.781295Z,42.2,1.74,,10.43,102.46
2022-06-28T01:15:17.365490Z,42.72,1.76,,10.43,102.46
2022-06-28T01:16:17.540468Z,42.47,1.75,0.05,10.43,102.46
2022-06-28T01:18:17.944160Z,42.15,1.73,0.04,10.43,102.46
2022-06-28T01:19:18.098312Z,41.83,1.74,0.05,10.43,102.46
2022-06-28T01:21:18.867214Z,41.94,1.73,0.05,10.43,102.46
2022-06-28T01:22:18.934800Z,42.31,1.75,,10.43,102.44
2022-06-28T01:24:19.012999Z,42.32,,0.06,10.43,102.46
2022-06-28T01:25:19.145081Z,41.97,,,,
2022-06-28T01:26:19.343159Z,,1.75,,,102.48
2022-06-28T01:27:19.738596Z,42.17,1.73,0.05,10.43,102.44
2022-06-28T01:29:20.994314Z,42.3,1.75,0.05,10.43,102.45
2022-06-28T01:30:21.920447Z,41.6,1.72,0.05,10.43,102.43
2022-06-28T01:32:22.093563Z,42.04,1.75,0.05,10.43,102.38
2022-06-28T01:33:22.447291Z,42.1,1.73,0.04,10.43,102.42
2022-06-28T01:35:22.934843Z,41.81,1.73,0.07,10.43,102.44
2022-06-28T01:36:22.947971Z,41.76,1.74,0.06,10.43,102.45
2022-06-28T01:38:23.220195Z,41.86,1.72,0.04,10.43,102.44
2022-06-28T01:39:23.711053Z,41.78,1.72,0.05,10.43,102.46
2022-06-28T01:41:24.994841Z,42.1,1.73,0.06,10.43,102.47
2022-06-28T01:42:25.649486Z,42.12,1.75,0.05,10.43,102.51
2022-06-28T01:44:26.144172Z,42.07,1.74,0.04,10.44,102.49
2022-06-28T01:45:26.265718Z,41.95,1.74,0.05,10.43,102.5
2022-06-28T01:47:26.721264Z,41.75,1.73,0.04,10.43,102.47
2022-06-28T01:48:27.116405Z,42.1,,,,
2022-06-28T01:49:27.242035Z,,1.76,0.05,10.44,102.49
2022-06-28T01:50:28.003164Z,42.38,1.74,0.04,10.43,102.5
2022-06-28T01:52:29.135207Z,41.33,,0.04,10.43,102.47
2022-06-28T01:53:29.767284Z,41.64,1.72,0.06,10.43,102.43
2022-06-28T01:55:31.000612Z,41.1,1.71,0.05,10.43,102.47
2022-06-28T01:56:31.426150Z,41.37,1.7,0.05,10.43,102.45
2022-06-28T01:58:32.278941Z,40.65,,0.05,10.43,102.42
2022-06-28T01:59:32.793297Z,41.39,1.71,0.04,10.43,102.42
2022-06-28T02:01:33.752364Z,40.37,1.63,0.17,10.31,102.48
2022-06-28T02:02:34.145441Z,34.6,1.35,0.15,10.21,101.31
2022-06-28T02:04:35.073913Z,27.78,1.1,,10.11,100.14
2022-06-28T02:05:35.176042Z,24.96,1.02,0.14,10.09,99.93
2022-06-28T02:07:35.636735Z,22.28,0.92,0.12,,99.72
2022-06-28T02:08:36.335825Z,22.32,,0.11,10.08,
2022-06-28T02:10:37.202421Z,21.55,0.87,0.12,,99.69
2022-06-28T02:12:37.575761Z,21.24,0.87,0.11,,99.72
2022-06-28T02:13:37.941139Z,21.07,0.88,0.14,10.08,
2022-06-28T02:14:38.190567Z,21.2,,,,
2022-06-28T02:15:38.277244Z,,0.9,0.14,,99.72
2022-06-28T02:16:38.865461Z,22.2,0.92,0.12,10.08,
2022-06-28T02:18:39.994714Z,22.0,0.93,0.11,,99.71
2022-06-28T02:19:40.225751Z,22.43,,0.1,10.08,99.69
2022-06-28T02:21:41.291048Z,23.43,,0.09,10.08,99.71
2022-06-28T02:22:41.417076Z,23.53,0.97,0.08,10.08,99.72
2022-06-28T02:24:42.037553Z,22.92,0.93,,10.08,
2022-06-28T02:25:42.477094Z,23.08,0.97,0.07,10.08,99.72
2022-06-28T02:27:43.053334Z,23.68,0.99,0.06,10.08,99.73
2022-06-28T02:28:43.295310Z,24.36,1.01,0.04,10.08,99.76
2022-06-28T02:30:44.335869Z,22.28,0.92,0.06,,99.8
2022-06-28T02:31:44.936301Z,22.81,0.95,,10.09,99.81
2022-06-28T02:33:45.503738Z,22.52,0.94,,10.09,99.82
2022-06-28T02:34:46.103016Z,23.26,0.98,0.04,10.09,99.82
2022-06-28T02:36:46.901285Z,24.06,1.01,0.03,10.09,99.82
2022-06-28T02:37:47.878320Z,24.09,0.98,0.03,10.09,99.82
2022-06-28T02:39:48.611309Z,23.45,0.98,,10.09,99.82
2022-06-28T02:40:49.604585Z,23.32,0.96,0.03,10.09,99.79
2022-06-28T02:42:50.699970Z,21.94,0.91,0.03,,99.77
2022-06-28T02:44:51.720681Z,22.07,0.92,0.02,10.09,99.77
2022-06-28T02:45:51.895180Z,21.6,0.87,-0.09,10.1,99.27
2022-06-28T02:47:52.008363Z,28.46,1.24,-0.08,10.31,100.94
2022-06-28T02:48:52.317989Z,32.66,1.39,-0.07,10.35,101.51
2022-06-28T02:50:52.786132Z,37.53,1.56,-0.07,10.39,101.97
2022-06-28T02:51:53.035552Z,38.53,1.61,-0.07,10.4,102.05
2022-06-28T02:53:54.076207Z,39.52,1.64,,10.4,102.08
2022-06-28T02:54:54.241960Z,39.39,1.63,-0.05,10.4,102.15
2022-06-28T02:56:55.047207Z,40.65,1.7,-0.04,10.4,102.14
2022-06-28T02:57:55.388767Z,41.43,1.7,-0.05,10.41,102.19
2022-06-28T02:59:55.490248Z,40.84,1.68,-0.04,10.41,102.2
2022-06-28T03:01:56.905546Z,40.67,1.69,-0.04,10.41,102.2
2022-06-28T03:02:56.859257Z,40.92,,-0.04,10.41,102.21
2022-06-28T03:04:57.214594Z,41.21,1.69,-0.02,10.41,102.24
2022-06-28T03:05:57.827013Z,40.67,1.68,-0.04,10.41,102.22
2022-06-28T03:07:59.346909Z,40.79,1.68,,10.4,102.15
